match_id,team,opponent,team_score_innings1,toss,ground,result
1,Pakistan,England,153,bowl,Gaddafi Stadium,1
2,India,Sri Lanka,160,bat,Dubai International Stadium,0
3,West Indies,India,182,bowl,Old Trafford,0
4,South Africa,New Zealand,119,bat,Lord's,0
5,Sri Lanka,India,196,bat,Pallekele International Cricket Stadium,1
6,Afghanistan,Sri Lanka,138,bat,Melbourne Cricket Ground,0
7,Bangladesh,West Indies,170,bowl,Pallekele International Cricket Stadium,0
8,Afghanistan,Pakistan,154,bat,Wankhede Stadium,1
9,Sri Lanka,Australia,160,bowl,Adelaide Oval,1
10,England,Pakistan,164,bat,Old Trafford,0
11,India,Bangladesh,209,bat,Wankhede Stadium,1
12,Australia,Pakistan,172,bowl,Gaddafi Stadium,1
13,South Africa,Bangladesh,141,bowl,Pallekele International Cricket Stadium,1
14,West Indies,Australia,211,bat,Melbourne Cricket Ground,1
15,England,India,191,bat,Lord's,1
16,New Zealand,India,209,bowl,Eden Gardens,0
17,Pakistan,England,166,bat,Old Trafford,1
18,South Africa,Afghanistan,147,bat,Gaddafi Stadium,0
19,Australia,England,158,bowl,Gaddafi Stadium,0
20,Bangladesh,New Zealand,163,bat,Melbourne Cricket Ground,0
21,Afghanistan,New Zealand,126,bowl,Melbourne Cricket Ground,1
22,Pakistan,Bangladesh,228,bat,Old Trafford,1
23,New Zealand,Australia,119,bowl,Eden Gardens,1
24,West Indies,Bangladesh,170,bowl,Dubai International Stadium,0
25,India,Sri Lanka,150,bowl,Dubai International Stadium,1
26,India,South Africa,230,bat,Eden Gardens,1
27,India,Afghanistan,186,bowl,Wankhede Stadium,1
28,England,Pakistan,191,bowl,Pallekele International Cricket Stadium,0
29,Pakistan,England,213,bat,Adelaide Oval,1
30,West Indies,England,175,bat,Dubai International Stadium,1
31,Australia,Sri Lanka,161,bat,Adelaide Oval,0
32,Sri Lanka,England,135,bowl,Pallekele International Cricket Stadium,0
33,West Indies,Australia,159,bowl,Adelaide Oval,0
34,New Zealand,West Indies,178,bowl,Eden Gardens,0
35,New Zealand,England,165,bat,Dubai International Stadium,0
36,South Africa,England,164,bowl,Eden Gardens,0
37,Sri Lanka,India,159,bat,Lord's,0
38,England,New Zealand,117,bowl,Adelaide Oval,1
39,Sri Lanka,West Indies,179,bat,Adelaide Oval,0
40,Bangladesh,Australia,195,bowl,Old Trafford,0
41,South Africa,Australia,178,bowl,Dubai International Stadium,0
42,India,Pakistan,138,bowl,Wankhede Stadium,1
43,Afghanistan,Bangladesh,169,bat,Old Trafford,0
44,West Indies,Bangladesh,165,bowl,Old Trafford,0
45,Australia,Bangladesh,167,bowl,Old Trafford,0
46,Bangladesh,Pakistan,159,bat,Pallekele International Cricket Stadium,1
47,Sri Lanka,Pakistan,149,bowl,Pallekele International Cricket Stadium,1
48,Afghanistan,South Africa,160,bat,Adelaide Oval,0
49,India,England,167,bat,Melbourne Cricket Ground,1
50,South Africa,England,139,bat,Eden Gardens,0
51,New Zealand,West Indies,169,bat,Eden Gardens,0
52,New Zealand,Sri Lanka,168,bat,Old Trafford,0
53,Pakistan,West Indies,126,bat,Pallekele International Cricket Stadium,0
54,Pakistan,Australia,136,bowl,Dubai International Stadium,1
55,Pakistan,New Zealand,177,bat,Pallekele International Cricket Stadium,1
56,Pakistan,South Africa,183,bowl,Lord's,1
57,Afghanistan,Pakistan,196,bat,Adelaide Oval,1
58,India,New Zealand,169,bowl,Eden Gardens,1
59,Sri Lanka,England,183,bowl,Old Trafford,0
60,Australia,India,154,bat,Dubai International Stadium,0
61,Australia,Sri Lanka,189,bat,Gaddafi Stadium,1
62,New Zealand,India,145,bowl,Dubai International Stadium,1
63,Sri Lanka,England,199,bat,Eden Gardens,1
64,West Indies,Afghanistan,164,bowl,Melbourne Cricket Ground,0
65,Afghanistan,India,120,bat,Gaddafi Stadium,0
66,West Indies,Australia,135,bowl,Eden Gardens,1
67,West Indies,England,194,bat,Eden Gardens,1
68,England,India,170,bat,SCG,0
69,New Zealand,Afghanistan,170,bowl,Eden Gardens,0
70,India,Australia,165,bowl,SCG,1
71,New Zealand,Australia,171,bat,Wankhede Stadium,1
72,Afghanistan,South Africa,193,bowl,Adelaide Oval,0
73,Sri Lanka,West Indies,134,bat,Eden Gardens,0
74,Pakistan,New Zealand,188,bat,Dubai International Stadium,1
75,South Africa,Pakistan,108,bat,Lord's,0
76,Australia,New Zealand,162,bat,Pallekele International Cricket Stadium,0
77,Afghanistan,England,142,bat,Old Trafford,0
78,England,Pakistan,92,bowl,Wankhede Stadium,1
79,Pakistan,New Zealand,154,bat,Adelaide Oval,0
80,Sri Lanka,England,117,bowl,Gaddafi Stadium,1
81,Australia,Pakistan,117,bat,Pallekele International Cricket Stadium,0
82,Sri Lanka,South Africa,122,bowl,Lord's,1
83,Bangladesh,Pakistan,156,bowl,Melbourne Cricket Ground,1
84,England,New Zealand,163,bat,Melbourne Cricket Ground,1
85,Sri Lanka,New Zealand,191,bat,Old Trafford,1
86,India,England,187,bowl,Wankhede Stadium,0
87,India,Sri Lanka,193,bowl,Gaddafi Stadium,0
88,Bangladesh,Sri Lanka,159,bat,Wankhede Stadium,0
89,Bangladesh,England,171,bowl,Adelaide Oval,0
90,South Africa,Pakistan,160,bat,Lord's,1
91,England,Pakistan,167,bowl,SCG,1
92,South Africa,Sri Lanka,123,bowl,Gaddafi Stadium,1
93,Australia,New Zealand,144,bat,Pallekele International Cricket Stadium,0
94,India,Afghanistan,144,bowl,Eden Gardens,1
95,Afghanistan,India,178,bat,Dubai International Stadium,1
96,New Zealand,India,169,bat,Dubai International Stadium,0
97,Afghanistan,England,224,bat,Lord's,1
98,New Zealand,Pakistan,190,bowl,SCG,0
99,New Zealand,South Africa,209,bowl,SCG,0
100,Pakistan,India,143,bat,Pallekele International Cricket Stadium,0
101,Sri Lanka,Afghanistan,171,bowl,Pallekele International Cricket Stadium,1
102,West Indies,India,143,bowl,Gaddafi Stadium,1
103,India,Sri Lanka,165,bowl,SCG,1
104,New Zealand,Sri Lanka,172,bat,Wankhede Stadium,1
105,South Africa,Bangladesh,170,bowl,Eden Gardens,1
106,Afghanistan,England,213,bat,Dubai International Stadium,1
107,India,England,178,bat,Old Trafford,1
108,New Zealand,England,160,bowl,Old Trafford,0
109,New Zealand,South Africa,179,bat,Wankhede Stadium,1
